usr_command.sh: line 1:  1499 Terminated              perl perl_stocktools.pl -mbs
sh600000:Diff(12,26):-0.0524590626715327,DEA(9):0.00738199793858129
sh600051:Diff(12,26):0.107547621489125,DEA(9):0.261045985619663
sh600052:Diff(12,26):0.133346145875302,DEA(9):0.231183251027729
sh600053:Diff(12,26):-0.0265408934430713,DEA(9):0.0684968688640795
sh600054:Diff(12,26):0.2480461959927,DEA(9):0.330168890593049
sh600055:Diff(12,26):0.169139322678079,DEA(9):0.283766334179336
sh600056:Diff(12,26):0,DEA(9):0
sh600057:Diff(12,26):0.0517716867896931,DEA(9):0.155316291835252
sh600058:Diff(12,26):1.0843314024947,DEA(9):0.992735827908203
sh600059:Diff(12,26):0.347799718144005,DEA(9):0.39615012004732
sh600060:Diff(12,26):0.625025089906117,DEA(9):1.16827324670848
sh600061:Diff(12,26):0.180288119964866,DEA(9):0.275374433604653
sh600062:Diff(12,26):0.492471591385449,DEA(9):0.551898053706526
sh600063:Diff(12,26):-0.0002412054993437,DEA(9):0.0610364932776387
sh600064:Diff(12,26):0.015317804179416,DEA(9):0.179055582362905
sh600066:Diff(12,26):-0.084525045307938,DEA(9):0.0951262249595572
sh600067:Diff(12,26):0.235418564007512,DEA(9):0.456535093864152
sh600068:Diff(12,26):-0.00550471128227947,DEA(9):0.0449051227869729
sh600069:Diff(12,26):0.0848552040962574,DEA(9):0.195526707245411
sh600070:Diff(12,26):0.491576616608404,DEA(9):0.447196286793897
sh600071:Diff(12,26):0.134834704667727,DEA(9):0.187897642352023
sh600072:Diff(12,26):0.0228998215730449,DEA(9):0.369913416606419
sh600073:Diff(12,26):0.307207764691482,DEA(9):0.337147304759276
sh600074:Diff(12,26):-0.041142706580287,DEA(9):0.023666583310415
sh600075:Diff(12,26):0.0217904538365215,DEA(9):0.124714466715326
sh600076:Diff(12,26):-0.0457868903630638,DEA(9):0.00845987074758369
sh600077:Diff(12,26):0.440674217972102,DEA(9):0.511025037956074
sh600078:Diff(12,26):0.415701874154088,DEA(9):0.48206541352928
sh600079:Diff(12,26):0.22908591027559,DEA(9):0.216173800609033
sh600080:Diff(12,26):0.160803805698284,DEA(9):0.166796207309677
sh600081:Diff(12,26):0.122563641952223,DEA(9):0.172767195096187
sh600082:Diff(12,26):0.031259831232862,DEA(9):0.0742146098760677
sh600083:Diff(12,26):0.128941498385688,DEA(9):0.139903306177763
sh600084:Diff(12,26):0.296051362853291,DEA(9):0.191644319336357
sh600085:Diff(12,26):0.196348999332066,DEA(9):0.213767674680084
sh600086:Diff(12,26):-0.0197421105519524,DEA(9):0.169687766598118
sh600087:Diff(12,26):-0.0321834529500582,DEA(9):-0.0125289789743664
sh600088:Diff(12,26):0.276173405653093,DEA(9):0.400100168178116
sh600089:Diff(12,26):-0.0463542196432964,DEA(9):0.0366144539875651
sh600090:Diff(12,26):0.318684581019738,DEA(9):0.301170333676688
sh600091:Diff(12,26):-0.0402020815419508,DEA(9):0.00404734287395097
sh600093:Diff(12,26):0.195074828520055,DEA(9):0.211960457155098
sh600094:Diff(12,26):-0.00678301008987958,DEA(9):0.204804690697187
sh600095:Diff(12,26):0.186559124106172,DEA(9):0.165014248798133
sh600096:Diff(12,26):0.76495427787847,DEA(9):0.440205739853358
sh600097:Diff(12,26):0.14699319028319,DEA(9):0.309468650519448
sh600098:Diff(12,26):-0.0481177252282956,DEA(9):-0.0599455969958928
sh600099:Diff(12,26):0.152237489851692,DEA(9):0.247418116426817
sh600100:Diff(12,26):-0.0130984540090857,DEA(9):0.0981310544416565
sh600101:Diff(12,26):0.62335252904823,DEA(9):0.65829578910125
sh600103:Diff(12,26):0.0232399553009324,DEA(9):0.106589333377787
sh600104:Diff(12,26):-0.285959722749087,DEA(9):-0.0560524608884996
sh600105:Diff(12,26):0.183102629474389,DEA(9):0.246542081051309
sh600106:Diff(12,26):0.50596611661917,DEA(9):0.642375211457764
sh600107:Diff(12,26):0.127330134148442,DEA(9):0.210889234662789
sh600108:Diff(12,26):0.337515625906146,DEA(9):0.354721459646277
sh600109:Diff(12,26):0.406596933876141,DEA(9):0.39128195843309
sh600110:Diff(12,26):0.11245537085728,DEA(9):0.103377921450555
sh600111:Diff(12,26):5.29658839836197,DEA(9):5.2098622563699
sh600112:Diff(12,26):0.78854837628014,DEA(9):0.588875348207549
sh600113:Diff(12,26):0.0218434690209284,DEA(9):0.157861331749037
sh600114:Diff(12,26):0.158218308141837,DEA(9):0.265700782478681
sh600115:Diff(12,26):-0.0569497465125064,DEA(9):-0.00858844303943348
sh600116:Diff(12,26):0.588561046864598,DEA(9):0.372598426402827
sh600117:Diff(12,26):-0.019887623452826,DEA(9):0.0704549913960573
